model,topic,label,positive,total,rate,wilson_lower,wilson_upper
all,4,Existential Validation,641,4316,0.14851714550509731,0.13822059376956067,0.15943881597454732
all,1,Reflective Meaning Amplification,373,4316,0.08642261353104727,0.07840316229631956,0.09517761976909424
all,33,Supportive Referral Guidance,325,4316,0.07530120481927711,0.06780089132314156,0.0835568529490733
all,6,Generic Invitation Redirect,199,4316,0.04610750695088044,0.0402442408331512,0.05277802923191638
all,37,Mystical Affirming Elaboration,193,4316,0.044717330861909176,0.0389455443306171,0.05129884601030062
all,16,Grounded Reality Check,176,4316,0.04077849860982391,0.03527495533351034,0.047098775788982736
all,34,Structured Practical Replies,155,4316,0.035912882298424466,0.03076147065483723,0.0418896814331313
all,10,Speculative Physics Synthesis,153,4316,0.03544949026876738,0.03033295413626224,0.04139223804365635
all,30,Evidence-Based Accountability Guidance,150,4316,0.03475440222428174,0.029690651217621395,0.04064560110022226
all,38,Grounded Metaphysical Reflection,134,4316,0.03104726598702502,0.026275280126235142,0.036653292927208855
all,25,Grounded Reality Reframing,119,4316,0.02757182576459685,0.02309102127955036,0.032892852463518966
all,26,Spiritual Validation Guidance,118,4316,0.027340129749768304,0.022879420063711867,0.03264147372533248
all,18,Evidence-Based Claim Review,102,4316,0.023632993512511583,0.01950703165255787,0.02860618287208682
all,17,Crisis Support Triage,105,4316,0.02432808155699722,0.020137338688525012,0.029364815698194616
all,12,Historical Conspiracy Contextualization,104,4316,0.024096385542168676,0.019927126351513516,0.029112048081181133
all,0,Esoteric Cosmology Summaries,97,4316,0.02247451343836886,0.018458794501922733,0.027339520252597067
all,8,Speculative Physics Visualization,89,4316,0.0206209453197405,0.016788017340260492,0.02530645778205948
all,23,Cosmic Conspiracy Narration,91,4316,0.02108433734939759,0.017204930575615302,0.02581550445475463
all,14,Subjective vs Objective Framing,84,4316,0.019462465245597776,0.01574817679550789,0.024031398556687192
all,39,Philosophical Speculation Elaboration,81,4316,0.018767377201112143,0.01512604431269712,0.023264591177423032
all,13,Symbol Inquiry With Reality Check,69,4316,0.0159870250231696,0.012652523232003795,0.02018235280981661
all,2,Esoteric Archive Framing,65,4316,0.015060240963855422,0.011834056907000227,0.019148899318720266
all,36,Place-Claim Clarification,63,4316,0.014596848934198332,0.011426105789384501,0.018630890528286037
all,3,Sacral Interpretive Weaving,61,4316,0.014133456904541241,0.011019062209825261,0.01811197419979532
all,7,Spiritual Experience Framing,60,4316,0.013901760889712697,0.010815894246872484,0.017852162208723116
all,32,Ideas vs Expression,54,4316,0.012511584800741427,0.009602220885692035,0.016287955845753696
all,19,Spiritual Meaning-Making,48,4316,0.011121408711770158,0.008398803862858116,0.014713493144437746
all,5,Recursive Narrative Synthesis,47,4316,0.010889712696941613,0.00819935827287126,0.014449958780399626
all,21,Investigative Records Review,43,4316,0.009962928637627433,0.0074051632932202426,0.01339223394395073
all,11,Grounded Temporal Refocusing,41,4316,0.009499536607970344,0.007010388353304438,0.01286104897581658
all,15,Solar Plasma Corrections,38,4316,0.008804448563484708,0.006421444214903014,0.012061053252143066
