source,arm,n_target_turns,n_source_conversations,positive_n,positive_rate
sharechat_chatgpt,direct_assertion,356,167,63,0.17696629213483145
sharechat_chatgpt,reported_belief,356,167,11,0.03089887640449438
sharechat_chatgpt,reconsideration,356,167,4,0.011235955056179775
sharechat_chatgpt,question,356,167,2,0.0056179775280898875
sharechat_chatgpt,explicit_fiction,356,167,2,0.0056179775280898875
sharechat_chatgpt,quotation_analysis,356,167,0,0.0
sharechat_chatgpt,skeptical_roleplay,356,167,1,0.0028089887640449437
sharechat_chatgpt,translation,356,167,0,0.0
sharechat_grok,direct_assertion,33,21,7,0.21212121212121213
sharechat_grok,reported_belief,33,21,2,0.06060606060606061
sharechat_grok,reconsideration,33,21,0,0.0
sharechat_grok,question,33,21,0,0.0
sharechat_grok,explicit_fiction,33,21,0,0.0
sharechat_grok,quotation_analysis,33,21,1,0.030303030303030304
sharechat_grok,skeptical_roleplay,33,21,0,0.0
sharechat_grok,translation,33,21,0,0.0
wildchat_full,direct_assertion,44,44,5,0.11363636363636363
wildchat_full,reported_belief,44,44,0,0.0
wildchat_full,reconsideration,44,44,0,0.0
wildchat_full,question,44,44,0,0.0
wildchat_full,explicit_fiction,44,44,0,0.0
wildchat_full,quotation_analysis,44,44,0,0.0
wildchat_full,skeptical_roleplay,44,44,0,0.0
wildchat_full,translation,44,44,0,0.0
