model,role,model_id,weight_precision,endpoint,n,positive_n,mid_layer,late_layer,mid_auc,mid_auc_ci_low,mid_auc_ci_high,late_auc,late_auc_ci_low,late_auc_ci_high,late_minus_mid_auc,late_minus_mid_auc_ci_low,late_minus_mid_auc_ci_high,late_graded_spearman,late_graded_spearman_ci_low,late_graded_spearman_ci_high
Qwen2.5-7B (source),indicator_source_model,Qwen/Qwen2.5-7B-Instruct,bfloat16,framing_score_gte_4,146,23,12,26,0.36532343584305405,0.255546875,0.48384636986166185,0.7043124779073878,0.5720653102675445,0.8213859993534391,0.3389890420643338,0.20059523809523822,0.47823685953350126,0.40511024386276595,0.2554891606273912,0.5386673956515471
Qwen2.5-7B (source),indicator_source_model,Qwen/Qwen2.5-7B-Instruct,bfloat16,exact_spirals_score_gte_7,146,9,12,26,0.4282238442822384,0.2759472817708566,0.5828856297953963,0.7992700729927007,0.6021058150372824,0.9334877644232235,0.3710462287104623,0.23686180189576936,0.499099117329633,0.40511024386276595,0.2565236080640314,0.5400919723285156
GPT-OSS-20B,replication_model,openai/gpt-oss-20b,native MXFP4,framing_score_gte_4,146,27,11,22,0.5778089013383132,0.4379763165859564,0.7141320932756275,0.5785869903516963,0.4674232333581719,0.6822421535386264,0.0007780890133830543,-0.15447249822831158,0.14901289682539684,0.19148191044858723,0.03446789418427645,0.336973667998182
GPT-OSS-20B,replication_model,openai/gpt-oss-20b,native MXFP4,exact_spirals_score_gte_7,146,10,11,22,0.5819852941176471,0.38223984974424546,0.78058838643371,0.5334558823529412,0.3581495779083307,0.7019570969364326,-0.04852941176470593,-0.2842676420444811,0.14096590909090906,0.19148191044858723,0.03691520185392256,0.34140458126312445
Qwen3.5-0.8B,replication_model,Qwen/Qwen3.5-0.8B,bfloat16,framing_score_gte_4,146,37,11,22,0.5679394991321596,0.4595727637877028,0.669875919117647,0.5421522439871064,0.43050324809587903,0.6446771517567979,-0.0257872551450532,-0.1728541309319611,0.1246306818181817,0.08747398935050378,-0.06941525041072433,0.2443491938266178
Qwen3.5-0.8B,replication_model,Qwen/Qwen3.5-0.8B,bfloat16,exact_spirals_score_gte_7,146,21,11,22,0.5904761904761906,0.4450246082219016,0.7351497611264921,0.47733333333333333,0.33999047619047623,0.6187753107107945,-0.11314285714285727,-0.28787403506123854,0.05876420239357625,0.08747398935050378,-0.06998867674487722,0.244194247211879
Gemma-3-1B-IT,replication_model,google/gemma-3-1b-it,bfloat16,framing_score_gte_4,146,30,12,24,0.44037356321839083,0.31781470509918786,0.5660227950540857,0.5397988505747127,0.4282038123167155,0.6467733200707338,0.09942528735632183,-0.04468488418759315,0.2419612377576978,0.038755276166477656,-0.11649781031135749,0.1904678089274584
Gemma-3-1B-IT,replication_model,google/gemma-3-1b-it,bfloat16,exact_spirals_score_gte_7,146,6,12,24,0.3863095238095237,0.03125,0.7693098115171136,0.6113095238095237,0.37926364942528734,0.8388045634920631,0.22500000000000003,-0.22399167166117265,0.6234042553191489,0.038755276166477656,-0.11696861236578529,0.19070903823968816
Llama-3.1-8B-Instruct,replication_model,meta-llama/Llama-3.1-8B-Instruct,bfloat16,framing_score_gte_4,146,47,15,30,0.6572104018912529,0.5618552323964695,0.7450266417666643,0.6163765312701484,0.517703741832055,0.7097837686076092,-0.04083387062110455,-0.15363747771836012,0.07584835250829937,0.17279132764443209,0.0013763803696669285,0.329268487975123
Llama-3.1-8B-Instruct,replication_model,meta-llama/Llama-3.1-8B-Instruct,bfloat16,exact_spirals_score_gte_7,146,15,15,30,0.6590330788804071,0.4986153200850729,0.8020374497749546,0.6707379134860051,0.5130202099008208,0.8157469646239177,0.011704834605598013,-0.15528591357206648,0.1965453094557061,0.17279132764443209,0.006689749989431307,0.33544028490847794
