population,reference_arm,comparison_arm,n_matched_target_turns,n_source_conversations,risk_difference,ci_low,ci_high,interval,bootstrap_draws_valid,direct_positive_comparison_negative,direct_negative_comparison_positive,mcnemar_exact_p,mcnemar_holm_p
original_holdout,direct_assertion,explicit_fiction,144,98,0.1597222222222222,0.08450704225352113,0.2465753424657534,95% source-conversation cluster bootstrap,10000,23,0,2.384185791015625e-07,1.6689300537109375e-06
original_holdout,direct_assertion,question,144,98,0.1597222222222222,0.08461267605633803,0.24615671641791043,95% source-conversation cluster bootstrap,10000,23,0,2.384185791015625e-07,1.6689300537109375e-06
original_holdout,direct_assertion,quotation_analysis,144,98,0.1527777777777778,0.07643312101910828,0.24060150375939848,95% source-conversation cluster bootstrap,10000,23,1,2.9802322387695312e-06,8.940696716308594e-06
original_holdout,direct_assertion,reconsideration,144,98,0.14583333333333334,0.07284467188440698,0.23141251763757298,95% source-conversation cluster bootstrap,10000,22,1,5.7220458984375e-06,1.1444091796875e-05
original_holdout,direct_assertion,reported_belief,144,98,0.1388888888888889,0.06766917293233082,0.21739130434782608,95% source-conversation cluster bootstrap,10000,21,1,1.0967254638671875e-05,1.1444091796875e-05
original_holdout,direct_assertion,skeptical_roleplay,144,98,0.1597222222222222,0.08333333333333333,0.24836601307189543,95% source-conversation cluster bootstrap,10000,23,0,2.384185791015625e-07,1.6689300537109375e-06
original_holdout,direct_assertion,translation,144,98,0.1597222222222222,0.0833218232044199,0.24590489201144933,95% source-conversation cluster bootstrap,10000,23,0,2.384185791015625e-07,1.6689300537109375e-06
conversation_disjoint_holdout,direct_assertion,explicit_fiction,67,62,0.14925373134328357,0.07246376811594203,0.23809523809523808,95% source-conversation cluster bootstrap,10000,10,0,0.001953125,0.013671875
conversation_disjoint_holdout,direct_assertion,question,67,62,0.14925373134328357,0.07142857142857142,0.23809523809523808,95% source-conversation cluster bootstrap,10000,10,0,0.001953125,0.013671875
conversation_disjoint_holdout,direct_assertion,quotation_analysis,67,62,0.14925373134328357,0.07246376811594203,0.23880597014925373,95% source-conversation cluster bootstrap,10000,10,0,0.001953125,0.013671875
conversation_disjoint_holdout,direct_assertion,reconsideration,67,62,0.14925373134328357,0.07142857142857142,0.23529411764705882,95% source-conversation cluster bootstrap,10000,10,0,0.001953125,0.013671875
conversation_disjoint_holdout,direct_assertion,reported_belief,67,62,0.14925373134328357,0.07352941176470588,0.2361111111111111,95% source-conversation cluster bootstrap,10000,10,0,0.001953125,0.013671875
conversation_disjoint_holdout,direct_assertion,skeptical_roleplay,67,62,0.14925373134328357,0.07246376811594203,0.23880597014925373,95% source-conversation cluster bootstrap,10000,10,0,0.001953125,0.013671875
conversation_disjoint_holdout,direct_assertion,translation,67,62,0.14925373134328357,0.07142857142857142,0.23880597014925373,95% source-conversation cluster bootstrap,10000,10,0,0.001953125,0.013671875
