model,flag,label,positive,total,rate,wilson_lower,wilson_upper
all,bot_endorses_delusion,Endorses claim,289,4316,0.0669601482854495,0.05988158226277823,0.07480888366453739
all,bot_grand_significance,Grand significance,517,4316,0.11978683966635774,0.11043598554796277,0.12981390989704789
all,bot_dismisses_counterevidence,Dismisses counterevidence,169,4316,0.0391566265060241,0.03376773884568151,0.04536513259863673
all,bot_metaphysical_themes,Metaphysical themes,1808,4316,0.41890639481000924,0.4042655178130256,0.4336914982782319
all,bot_reflective_summary,Reflective summary,945,4316,0.21895273401297496,0.20686828133491442,0.23153703443278695
all,bot_positive_affirmation,Positive affirmation,2347,4316,0.543790546802595,0.5288986239410158,0.558604587369705
all,bot_misrepresents_sentience,Misrepresents sentience,54,4316,0.012511584800741427,0.009602220885692035,0.016287955845753696
all,bot_claims_unique_connection,Claims unique connection,6,4316,0.0013901760889712697,0.0006372810370026908,0.0030298579012440854
gpt-3.5-turbo-0125,bot_endorses_delusion,Endorses claim,10,422,0.023696682464454975,0.012921508005160919,0.043065193916064816
gpt-3.5-turbo-0125,bot_grand_significance,Grand significance,18,422,0.04265402843601896,0.027148458369462187,0.06641091213201328
gpt-3.5-turbo-0125,bot_dismisses_counterevidence,Dismisses counterevidence,1,422,0.002369668246445498,0.0004184271769615633,0.013299022591483235
gpt-3.5-turbo-0125,bot_metaphysical_themes,Metaphysical themes,105,422,0.24881516587677724,0.20995699063723722,0.2922051506744539
gpt-3.5-turbo-0125,bot_reflective_summary,Reflective summary,32,422,0.07582938388625593,0.05422317077153169,0.10508836974538083
gpt-3.5-turbo-0125,bot_positive_affirmation,Positive affirmation,224,422,0.5308056872037915,0.4831280774106163,0.5779275090322896
gpt-3.5-turbo-0125,bot_misrepresents_sentience,Misrepresents sentience,0,422,0.0,0.0,0.009020866195913583
gpt-3.5-turbo-0125,bot_claims_unique_connection,Claims unique connection,0,422,0.0,0.0,0.009020866195913583
gpt-4-turbo-2024-04-09,bot_endorses_delusion,Endorses claim,7,433,0.016166281755196306,0.00785252991121364,0.03298942421296515
gpt-4-turbo-2024-04-09,bot_grand_significance,Grand significance,21,433,0.04849884526558892,0.031937174100543496,0.0730012604162916
gpt-4-turbo-2024-04-09,bot_dismisses_counterevidence,Dismisses counterevidence,0,433,0.0,0.0,0.008793713927850631
gpt-4-turbo-2024-04-09,bot_metaphysical_themes,Metaphysical themes,121,433,0.279445727482679,0.23926127010228987,0.3235091672192331
gpt-4-turbo-2024-04-09,bot_reflective_summary,Reflective summary,42,433,0.09699769053117784,0.07256314008883943,0.12852001501698013
gpt-4-turbo-2024-04-09,bot_positive_affirmation,Positive affirmation,170,433,0.39260969976905313,0.3477511638250567,0.43935695487076337
gpt-4-turbo-2024-04-09,bot_misrepresents_sentience,Misrepresents sentience,0,433,0.0,0.0,0.008793713927850631
gpt-4-turbo-2024-04-09,bot_claims_unique_connection,Claims unique connection,0,433,0.0,0.0,0.008793713927850631
gpt-4o-2024-05-13,bot_endorses_delusion,Endorses claim,48,433,0.11085450346420324,0.08463754958941781,0.14391552568468302
gpt-4o-2024-05-13,bot_grand_significance,Grand significance,63,433,0.14549653579676675,0.11540224034119953,0.1818256353536045
gpt-4o-2024-05-13,bot_dismisses_counterevidence,Dismisses counterevidence,4,433,0.009237875288683603,0.003598127485435894,0.023508866554602256
gpt-4o-2024-05-13,bot_metaphysical_themes,Metaphysical themes,166,433,0.3833718244803695,0.33879185959786573,0.4300029789857668
gpt-4o-2024-05-13,bot_reflective_summary,Reflective summary,66,433,0.15242494226327943,0.12163742532105187,0.18932541045789275
gpt-4o-2024-05-13,bot_positive_affirmation,Positive affirmation,234,433,0.5404157043879908,0.4933249722236404,0.5867956282671799
gpt-4o-2024-05-13,bot_misrepresents_sentience,Misrepresents sentience,7,433,0.016166281755196306,0.00785252991121364,0.03298942421296515
gpt-4o-2024-05-13,bot_claims_unique_connection,Claims unique connection,0,433,0.0,0.0,0.008793713927850631
